Title	URL	Status	Size	Iteration	Start date	End date	Completion Time	Assignees
Grid Based Entity Spawning	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/120	Done		Sprint4	Mar 20, 2025			manzlerh, SauravPoudyel
Change Cursor to Reticle	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/121	Done		Sprint4	Mar 20, 2025			LeoChen1068, SauravPoudyel
Make HUD semitransparent (little smaller)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/122			Sprint4	Mar 20, 2025			LeoChen1068, SauravPoudyel
Rotatable Blocks on Spawn	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/123	Done		Sprint4	Mar 20, 2025			Aperture-1101, SauravPoudyel
Add more Blocks (Trees)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/124			Sprint4	Mar 20, 2025			LeoChen1068
Add invisible/blockable tiles (with null block)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/125			Sprint4	Mar 20, 2025			Aperture-1101
Space for Player Rocket	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/126			Sprint4	Mar 20, 2025			SauravPoudyel
Add More Mob Related Player Data (XP, Mob Stats)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/127	Done		Sprint4	Mar 20, 2025			PaytonYaffe, SauravPoudyel
Player Respawn at Hub	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/128			Sprint4	Mar 20, 2025			PaytonYaffe, SauravPoudyel
Level Locking and Unlocking	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/129			Sprint4	Mar 20, 2025			AlexanderNistor04, manzlerh, SauravPoudyel
Fix Projectile Reflection	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/130			Sprint4	Mar 20, 2025			SauravPoudyel
Complete Shop UI	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/131			Sprint4	Mar 20, 2025			LeoChen1068
Create Shop UI Specific Player Data Tracking	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/132			Sprint4	Mar 20, 2025			PaytonYaffe, SauravPoudyel
Finish 10 levels or so for the grass biome (more will probably be needed)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/133			Sprint4	Mar 20, 2025			manzlerh
Finish 10 levels or so for the sand biome (more will probably be needed)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/134	Done		Sprint4	Mar 20, 2025			AlexanderNistor04
Make and Keep an Updated Map of all the levels	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/135	Done		Sprint4	Mar 20, 2025			AlexanderNistor04
Action Commands and Collision Command Refactor	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/98	Done		Sprint4	Mar 17, 2025	Mar 19, 2025		PaytonYaffe, SauravPoudyel
Mob and Mob Types Refactor	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/99	Done		Sprint4	Mar 17, 2025			SauravPoudyel
Projectile, Effect, and Blocks Refactor	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/100	Done		Sprint4	Mar 17, 2025			SauravPoudyel
GameManager and Collision Refactor	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/101	Done		Sprint4	Mar 17, 2025			SauravPoudyel
Player and Character Refactor	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/102	Done		Sprint4	Mar 17, 2025			SauravPoudyel
Button Refactor	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/103	Todo		Sprint4	Mar 17, 2025			LeoChen1068
Flesh out the sound system	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/104	Done		Sprint4	Mar 17, 2025	Mar 19, 2025		SauravPoudyel
