Type,Subtype,X,Y
Player,,7,4
Block,House,2,2
Block,House2,2,6
Block,Factory,13,2
Block,Garage,13,5
Block,RockPile,12,5
Block,BarbedFence,9,4
Block,Tree,4,3
Block,Tree,10,3
Block,SmallTree,6,6
Block,CoconutTree,10,1
Block,DeadTree,3,5
Block,RockPile,7,2
Block,RockPileVar1,4,6
Block,RockPileVar2,10,5
Block,Box,6,7
Block,Barrel,7,6
Block,SmallBarrel,5,2
Block,Fence,0,0
Block,Fence,1,0
Block,Fence,2,0
Block,Fence,3,0
Block,Fence,4,0
Block,Fence,5,0
Block,Fence,6,0
Block,Fence,7,0
Block,Fence,8,0
Block,Fence,9,0
Block,Fence,10,0
Block,Fence,11,0
Block,Fence,12,0
Block,Fence,13,0
Block,Fence,14,0
Block,Fence,15,0
Block,Fence,0,8
Block,Fence,1,8
Block,Fence,2,8
Block,Fence,3,8
Block,Fence,4,8
Block,Fence,5,8
Block,Fence,6,8
Block,Fence,7,8
Block,Fence,8,8
Block,Fence,9,8
Block,Fence,10,8
Block,Fence,11,8
Block,Fence,12,8
Block,Fence,13,8
Block,Fence,14,8
Block,Fence,15,8


