LevelName,LevelNumber,Top,Bottom,Left,Right,Prereq,ItemDrop
Tutorial,0,,,,,,
Level1,1,Level2,Level3,,,,
Level2,2,,Level1,,Level201,,
Level3,3,Level1,,,Level4,Level2,
Level4,4,,Level6,Level3,,Level3,
Level5,5,,Level13,Level6,,Level4,
Level6,6,Level4,,,Level5,,
Level7,7,,Level9,,Level8,Level7,
Level8,8,Level11,Level10,Level7,,,
Level9,9,Level7,,,Level10,,
Level10,10,Level8,,Level9,Level12,,
Level11,11,Level15,Level8,,,,
Level12,12,,,Level10,,,ShopKeys
Level13,13,Level5,Level14,,,,
Level14,14,Level13,,Level15,,,
Level15,15,,Level11,,Level14,,
Level201,201,,,Level2,Level202,Level202,
Level202,202,Level205,Level209,Level201,Level203,Level201,
Level203,203,Level206,Level210,Level202,Level204,Level202,
Level204,204,Level207,,Level203,,Level203,
Level205,205,,Level202,,Level206,Level204,
Level206,206,,Level203,Level205,Level207,Level205,
Level207,207,,Level204,Level206,,Level206,
Level208,208,,Level207,,,Level206,
Level209,209,Level202,,,Level210,Level202,
Level210,210,Level203,,Level209,,Level209,
Level301,301,,,Level302,Level2,,
Level302,302,,Level303,,Level301,,
Level303,303,Level302,,,,,
